total_area;num_rooms;floor;living_room_area;distance_from_center;price
56.3;2.0;2.0;32.9;17.0;4447700
51.5;2.0;1.0;29.6;10.0;5312740
76.5;3.0;12.0;48.0;3.0;8200000
29.2;1.0;3.0;17.0;11.0;3000000
70.8;3.0;2.0;43.4;18.0;4943328
45.4;2.0;4.0;25.7;17.0;3584230
49.5;2.0;4.0;29.2;7.0;4200000
45.4;2.0;1.0;25.7;18.0;3513907
44.2;2.0;1.0;29.2;11.0;4150000
53.3;3.0;15.0;35.8;7.0;5443740
62.8;2.0;1.0;54.2;12.0;3400000
101.5;3.0;7.0;41.7;3.0;15529500
50.2;2.0;12.0;26.6;6.0;7284800
12.0;1.0;6.0;12.0;4.0;1699000
27.0;1.0;1.0;25.7;18.0;2698000
40.0;1.0;3.0;27.5;1.0;5955000
54.4;2.0;2.0;30.2;18.0;4082370
46.0;1.0;10.0;21.6;5.0;4899000
32.0;1.0;3.0;23.0;13.0;2685600
78.6;3.0;3.0;42.0;13.0;5050000
80.0;4.0;1.0;71.0;5.0;7700000
22.0;1.0;4.0;12.0;5.0;2900000
31.0;1.0;22.0;16.9;4.0;4350000
72.1;2.0;22.0;40.0;4.0;7200000
55.0;3.0;1.0;35.0;3.0;5000000
33.3;1.0;19.0;11.5;7.0;3806460
45.1;2.0;2.0;31.7;5.0;3900000
44.6;2.0;1.0;32.9;4.0;3990000
40.0;1.0;7.0;14.2;7.0;4086120
21.0;1.0;2.0;16.6;13.0;2308900
